지역,날짜,총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
전국,2021. 03,735225,735225,0,263849,214411,214411,256965,256965
서울,2010. 01,121063,125187,-4124,29888,47135,47135,44040,48164
서울,2010. 02,159643,164964,-5321,39905,62541,62541,57197,62518
서울,2010. 03,190443,202749,-12306,57717,73442,73442,59284,71590
서울,2010. 04,156519,168186,-11667,51725,59491,59491,45303,56970
서울,2010. 05,145051,156874,-11823,47355,56024,56024,41672,53495
서울,2010. 06,135487,144543,-9056,42508,52669,52669,40310,49366
서울,2010. 07,128872,136818,-7946,38310,51150,51150,39412,47358
서울,2010. 08,141136,148726,-7590,39800,56259,56259,45077,52667
서울,2010. 09,120210,128763,-8553,36623,47713,47713,35874,44427
서울,2010. 10,146446,156914,-10468,47360,57736,57736,41350,51818
서울,2010. 11,144395,158592,-14197,46631,57965,57965,39799,53996
서울,2010. 12,143750,155722,-11972,42523,57238,57238,43989,55961
서울,2011. 01,124125,128449,-4324,33165,48063,48063,42897,47221
서울,2011. 02,166687,170284,-3597,44865,65748,65748,56074,59671
서울,2011. 03,182847,193708,-10861,58625,71265,71265,52957,63818
서울,2011. 04,148582,158638,-10056,51057,57090,57090,40435,50491
서울,2011. 05,149942,160262,-10320,51377,57933,57933,40632,50952
서울,2011. 06,130326,140667,-10341,42276,51217,51217,36833,47174
서울,2011. 07,123680,132400,-8720,39410,48537,48537,35733,44453
서울,2011. 08,155031,164866,-9835,48526,60560,60560,45945,55780
서울,2011. 09,128148,138099,-9951,41599,49495,49495,37054,47005
서울,2011. 10,144601,154442,-9841,48646,56559,56559,39396,49237
서울,2011. 11,136035,148919,-12884,44642,53629,53629,37764,50648
서울,2011. 12,131744,144072,-12328,39619,51219,51219,40906,53234
서울,2012. 01,111997,115378,-3381,28795,43023,43023,40179,43560
서울,2012. 02,168586,171439,-2853,43070,64766,64766,60750,63603
서울,2012. 03,153149,162181,-9032,46747,57874,57874,48528,57560
서울,2012. 04,135660,144355,-8695,44838,51147,51147,39675,48370
서울,2012. 05,133247,141626,-8379,44401,49987,49987,38859,47238
서울,2012. 06,112473,120307,-7834,36233,42569,42569,33671,41505
서울,2012. 07,115200,123953,-8753,35978,43994,43994,35228,43981
서울,2012. 08,119234,128460,-9226,35488,45463,45463,38283,47509
서울,2012. 09,105895,114085,-8190,33678,40353,40353,31864,40054
서울,2012. 10,139686,151035,-11349,44970,54770,54770,39946,51295
서울,2012. 11,134791,145921,-11130,42464,52409,52409,39918,51048
서울,2012. 12,125363,140188,-14825,36796,49487,49487,39080,53905
서울,2013. 01,118477,123006,-4529,30191,45643,45643,42643,47172
서울,2013. 02,150805,155528,-4723,37426,59876,59876,53503,58226
서울,2013. 03,138507,146220,-7713,40993,52790,52790,44724,52437
서울,2013. 04,134581,144586,-10005,44771,51396,51396,38414,48419
서울,2013. 05,130619,138830,-8211,43403,50136,50136,37080,45291
서울,2013. 06,115773,124523,-8750,38365,44101,44101,33307,42057
서울,2013. 07,118420,127308,-8888,37104,45735,45735,35581,44469
서울,2013. 08,119171,126101,-6930,36697,45324,45324,37150,44080
서울,2013. 09,103009,109528,-6519,32569,39416,39416,31024,37543
서울,2013. 10,133368,142141,-8773,44556,50923,50923,37889,46662
서울,2013. 11,119741,131098,-11357,40284,45100,45100,34357,45714
서울,2013. 12,137619,151771,-14152,42035,54174,54174,41410,55562
서울,2014. 01,111094,115366,-4272,29855,41756,41756,39483,43755
서울,2014. 02,155429,158261,-2832,39773,59275,59275,56381,59213
서울,2014. 03,148117,154260,-6143,45372,55072,55072,47673,53816
서울,2014. 04,136230,144686,-8456,45379,51724,51724,39127,47583
서울,2014. 05,129645,137232,-7587,44055,48763,48763,36827,44414
서울,2014. 06,122547,130942,-8395,41631,47046,47046,33870,42265
서울,2014. 07,128364,135883,-7519,41510,50339,50339,36515,44034
서울,2014. 08,124922,130585,-5663,38872,48566,48566,37484,43147
서울,2014. 09,117715,123841,-6126,37909,45134,45134,34672,40798
서울,2014. 10,142279,151401,-9122,48474,55605,55605,38200,47322
서울,2014. 11,124299,133467,-9168,41763,48332,48332,34204,43372
서울,2014. 12,132953,145501,-12548,40808,51010,51010,41135,53683
서울,2015. 01,116958,120013,-3055,31048,42995,42995,42915,45970
서울,2015. 02,134168,138304,-4136,35815,50625,50625,47728,51864
서울,2015. 03,160393,169767,-9374,51170,59601,59601,49622,58996
서울,2015. 04,137743,148860,-11117,47930,52721,52721,37092,48209
서울,2015. 05,132359,144035,-11676,47947,51068,51068,33344,45020
서울,2015. 06,135400,149778,-14378,48000,52428,52428,34972,49350
서울,2015. 07,130033,141756,-11723,44175,50127,50127,35731,47454
서울,2015. 08,128717,141628,-12911,42484,49328,49328,36905,49816
서울,2015. 09,112803,125689,-12886,38797,42986,42986,31020,43906
서울,2015. 10,135505,150502,-14997,47786,51773,51773,35946,50943
서울,2015. 11,132012,145622,-13610,46372,50385,50385,35255,48865
서울,2015. 12,133340,150733,-17393,42743,51225,51225,39372,56765
서울,2016. 01,113095,119949,-6854,31903,41674,41674,39518,46372
서울,2016. 02,145256,153467,-8211,39614,54295,54295,51347,59558
서울,2016. 03,140880,149700,-8820,42822,51518,51518,46540,55360
서울,2016. 04,117029,127687,-10658,39716,43565,43565,33748,44406
서울,2016. 05,123743,135701,-11958,43795,46114,46114,33834,45792
서울,2016. 06,119398,131462,-12064,39891,45649,45649,33858,45922
서울,2016. 07,110156,123001,-12845,36219,41759,41759,32178,45023
서울,2016. 08,132319,146990,-14671,41768,50642,50642,39909,54580
서울,2016. 09,117840,128750,-10910,39165,45495,45495,33180,44090
서울,2016. 10,133610,146868,-13258,46315,51582,51582,35713,48971
서울,2016. 11,130166,144748,-14582,44637,50777,50777,34752,49334
서울,2016. 12,132110,147536,-15426,41877,51123,51123,39110,54536
서울,2017. 01,114655,117173,-2518,31151,42425,42425,41079,43597
서울,2017. 02,161130,162678,-1548,42329,61317,61317,57484,59032
서울,2017. 03,143477,148176,-4699,41907,53564,53564,48006,52705
서울,2017. 04,112932,119307,-6375,35605,43502,43502,33825,40200
서울,2017. 05,124132,130722,-6590,40853,47407,47407,35872,42462
서울,2017. 06,115236,121281,-6045,37233,43703,43703,34300,40345
서울,2017. 07,113098,121341,-8243,36411,43168,43168,33519,41762
서울,2017. 08,132940,141931,-8991,41200,51657,51657,40083,49074
서울,2017. 09,120252,133583,-13331,39381,47045,47045,33826,47157
서울,2017. 10,109323,120064,-10741,37469,42714,42714,29140,39881
서울,2017. 11,114057,128744,-14687,37895,44228,44228,31934,46621
서울,2017. 12,111705,126423,-14718,33102,43541,43541,35062,49780
서울,2018. 01,119120,126275,-7155,30349,44471,44471,44300,51455
서울,2018. 02,135440,142674,-7234,33802,52357,52357,49281,56515
서울,2018. 03,144160,152138,-7978,41784,53995,53995,48381,56359
서울,2018. 04,117443,127510,-10067,37251,44104,44104,36088,46155
서울,2018. 05,117278,128576,-11298,37789,44965,44965,34524,45822
서울,2018. 06,109139,117661,-8522,34913,41629,41629,32597,41119
서울,2018. 07,112580,121981,-9401,34265,43135,43135,35180,44581
서울,2018. 08,117300,126268,-8968,34430,44057,44057,38813,47781
서울,2018. 09,92262,100223,-7961,28048,34843,34843,29371,37332
서울,2018. 10,132111,142818,-10707,43557,50831,50831,37723,48430
서울,2018. 11,125350,136685,-11335,40774,49008,49008,35568,46903
서울,2018. 12,117524,127128,-9604,33818,45401,45401,38305,47909
서울,2019. 01,128937,129031,-94,32640,47867,47867,48430,48524
서울,2019. 02,146401,143367,3034,35473,55117,55117,55811,52777
서울,2019. 03,135592,137242,-1650,37770,51496,51496,46326,47976
서울,2019. 04,118129,122867,-4738,35170,45360,45360,37599,42337
서울,2019. 05,110881,117209,-6328,33724,41404,41404,35753,42081
서울,2019. 06,91828,97933,-6105,27113,34900,34900,29815,35920
서울,2019. 07,111288,118365,-7077,32601,42090,42090,36597,43674
서울,2019. 08,110592,118002,-7410,31125,41807,41807,37660,45070
서울,2019. 09,103969,109435,-5466,30186,39647,39647,34136,39602
서울,2019. 10,128067,133127,-5060,40846,50461,50461,36760,41820
서울,2019. 11,113012,117720,-4708,34466,44101,44101,34445,39153
서울,2019. 12,127797,131783,-3986,35682,49581,49581,42534,46520
서울,2020. 01,131105,127159,3946,31948,49533,49533,49624,45678
서울,2020. 02,170587,167282,3305,42139,67670,67670,60778,57473
서울,2020. 03,164402,167806,-3404,45526,64724,64724,54152,57556
서울,2020. 04,127208,134325,-7117,39658,51015,51015,36535,43652
서울,2020. 05,117734,120443,-2709,34487,45752,45752,37495,40204
서울,2020. 06,122292,126224,-3932,35735,46617,46617,39940,43872
서울,2020. 07,115625,121544,-5919,33066,44758,44758,37801,43720
서울,2020. 08,123804,131848,-8044,34313,49119,49119,40372,48416
서울,2020. 09,127908,137952,-10044,37738,52235,52235,37935,47979
서울,2020. 10,126788,137100,-10312,39063,52281,52281,35444,45756
서울,2020. 11,117563,127049,-9486,34648,47049,47049,35866,45352
서울,2020. 12,133111,144245,-11134,36361,52678,52678,44072,55206
서울,2021. 01,114415,124855,-10440,29163,46108,46108,39144,49584
서울,2021. 02,141936,151351,-9415,35537,58415,58415,47984,57399
서울,2021. 03,151617,157833,-6216,39721,59680,59680,52216,58432
부산,2010. 01,39712,42116,-2404,11597,17234,17234,10881,13285
부산,2010. 02,48964,51054,-2090,12742,22238,22238,13984,16074
부산,2010. 03,52456,56059,-3603,15970,22906,22906,13580,17183
부산,2010. 04,43291,46464,-3173,14541,18819,18819,9931,13104
부산,2010. 05,42703,45867,-3164,15132,18391,18391,9180,12344
부산,2010. 06,43419,45087,-1668,14867,18710,18710,9842,11510
부산,2010. 07,38170,39868,-1698,13039,16243,16243,8888,10586
부산,2010. 08,40243,42377,-2134,12544,17378,17378,10321,12455
부산,2010. 09,34120,35933,-1813,10818,15119,15119,8183,9996
부산,2010. 10,41946,42667,-721,13666,17470,17470,10810,11531
부산,2010. 11,45063,47925,-2862,16270,19440,19440,9353,12215
부산,2010. 12,49247,52383,-3136,16945,21451,21451,10851,13987
부산,2011. 01,42463,44435,-1972,12970,18410,18410,11083,13055
부산,2011. 02,48745,49530,-785,14269,19542,19542,14934,15719
부산,2011. 03,47150,49511,-2361,15215,18853,18853,13082,15443
부산,2011. 04,44088,46729,-2641,15101,18680,18680,10307,12948
부산,2011. 05,45498,46334,-836,16027,18026,18026,11445,12281
부산,2011. 06,45693,45716,-23,15350,18060,18060,12283,12306
부산,2011. 07,35495,38407,-2912,12214,14794,14794,8487,11399
부산,2011. 08,41101,44306,-3205,13638,16818,16818,10645,13850
부산,2011. 09,33920,36524,-2604,11052,14077,14077,8791,11395
부산,2011. 10,38672,41208,-2536,12886,16266,16266,9520,12056
부산,2011. 11,41632,43100,-1468,13957,17417,17417,10258,11726
부산,2011. 12,43586,47106,-3520,14558,18750,18750,10278,13798
부산,2012. 01,36197,38111,-1914,10630,14808,14808,10759,12673
부산,2012. 02,47425,48751,-1326,12718,19185,19185,15522,16848
부산,2012. 03,38875,40942,-2067,11408,15521,15521,11946,14013
부산,2012. 04,38855,40963,-2108,13452,15646,15646,9757,11865
부산,2012. 05,39809,42552,-2743,14159,16483,16483,9167,11910
부산,2012. 06,33087,35055,-1968,11329,13730,13730,8028,9996
부산,2012. 07,38675,39419,-744,13521,15938,15938,9216,9960
부산,2012. 08,36295,37951,-1656,11783,14923,14923,9589,11245
부산,2012. 09,30808,32273,-1465,10071,13239,13239,7498,8963
부산,2012. 10,39337,40989,-1652,13593,16444,16444,9300,10952
부산,2012. 11,39924,41475,-1551,14053,16525,16525,9346,10897
부산,2012. 12,41755,43171,-1416,13641,17668,17668,10446,11862
부산,2013. 01,39348,40048,-700,11450,16501,16501,11397,12097
부산,2013. 02,42857,42807,50,11570,16857,16857,14430,14380
부산,2013. 03,39546,41004,-1458,12251,15725,15725,11570,13028
부산,2013. 04,40603,41548,-945,14233,16631,16631,9739,10684
부산,2013. 05,40967,42906,-1939,14972,16975,16975,9020,10959
부산,2013. 06,40432,42798,-2366,14833,16794,16794,8805,11171
부산,2013. 07,40876,42931,-2055,14420,17489,17489,8967,11022
부산,2013. 08,35986,37829,-1843,11665,15452,15452,8869,10712
부산,2013. 09,31231,32143,-912,10049,13410,13410,7772,8684
부산,2013. 10,40603,42438,-1835,13253,18198,18198,9152,10987
부산,2013. 11,40244,41335,-1091,12963,17690,17690,9591,10682
부산,2013. 12,45758,48374,-2616,14676,20295,20295,10787,13403
부산,2014. 01,38460,39924,-1464,11133,16758,16758,10569,12033
부산,2014. 02,46888,46549,339,12259,18695,18695,15934,15595
부산,2014. 03,40360,42710,-2350,11966,16198,16198,12196,14546
부산,2014. 04,41140,43894,-2754,14202,17225,17225,9713,12467
부산,2014. 05,38604,41125,-2521,13539,15765,15765,9300,11821
부산,2014. 06,38505,39320,-815,13749,15253,15253,9503,10318
부산,2014. 07,35200,36809,-1609,11576,14610,14610,9014,10623
부산,2014. 08,36033,36818,-785,11139,15278,15278,9616,10401
부산,2014. 09,35922,36321,-399,10958,14973,14973,9991,10390
부산,2014. 10,47271,42703,4568,14247,17472,17472,15552,10984
부산,2014. 11,39753,43431,-3678,14003,16353,16353,9397,13075
부산,2014. 12,47574,51198,-3624,15742,20189,20189,11643,15267
부산,2015. 01,42779,44777,-1998,12496,18418,18418,11865,13863
부산,2015. 02,41778,42461,-683,11624,16759,16759,13395,14078
부산,2015. 03,45511,48181,-2670,14105,18386,18386,13020,15690
부산,2015. 04,40628,41680,-1052,13603,16660,16660,10365,11417
부산,2015. 05,40734,41168,-434,14371,16573,16573,9790,10224
부산,2015. 06,45563,44395,1168,14790,18618,18618,12155,10987
부산,2015. 07,47288,46543,745,15269,20268,20268,11751,11006
부산,2015. 08,38816,40553,-1737,12060,16819,16819,9937,11674
부산,2015. 09,32915,34987,-2072,10598,14089,14089,8228,10300
부산,2015. 10,39877,41633,-1756,13336,16656,16656,9885,11641
부산,2015. 11,42243,43674,-1431,15107,17958,17958,9178,10609
부산,2015. 12,48899,50539,-1640,16391,21391,21391,11117,12757
부산,2016. 01,41272,42010,-738,11776,18363,18363,11133,11871
부산,2016. 02,43080,43750,-670,11419,17652,17652,14009,14679
